title,year,duration,genres
The Shawshank Redemption,1994,2h 22m,Drama
The Matrix,1999,2h 16m,"Action,Sci-Fi"
Star Wars: Episode V - The Empire Strikes Back,1980,2h 4m,"Action,Adventure,Fantasy"
Inception,2010,2h 28m,"Action,Adventure,Sci-Fi"
One Flew Over the Cuckoo's Nest,1975,2h 13m,Drama
Goodfellas,1990,2h 25m,"Biography,Crime,Drama"
Se7en,1995,2h 7m,"Crime,Drama,Mystery"
It's a Wonderful Life,1946,2h 10m,"Drama,Family,Fantasy"
Fight Club,1999,2h 19m,Drama
The Lord of the Rings: The Two Towers,2002,2h 59m,"Action,Adventure,Drama"
Forrest Gump,1994,2h 22m,"Drama,Romance"
"The Good, the Bad and the Ugly",1966,2h 58m,"Adventure,Western"
The Lord of the Rings: The Fellowship of the Ring,2001,2h 58m,"Action,Adventure,Drama"
Pulp Fiction,1994,2h 34m,"Crime,Drama"
The Lord of the Rings: The Return of the King,2003,3h 21m,"Action,Adventure,Drama"
Schindler's List,1993,3h 15m,"Biography,Drama,History"
The Help,2011,2h 26m,Drama
The Iron Giant,1999,1h 26m,"Animation,Action,Adventure"
Dances with Wolves,1990,3h 1m,"Adventure,Drama,Western"
Life of Brian,1979,1h 34m,Comedy
Persona,1966,1h 23m,"Drama,Thriller"
The 400 Blows,1959,1h 39m,"Crime,Drama"
Aladdin,1992,1h 30m,"Animation,Adventure,Comedy"
It Happened One Night,1934,1h 45m,"Comedy,Romance"
The Handmaiden,2016,2h 25m,"Drama,Romance,Thriller"
Cool Hand Luke,1967,2h 7m,"Crime,Drama"
The Sound of Music,1965,2h 52m,"Biography,Drama,Family"
Amores Perros,2000,2h 34m,"Drama,Thriller"
My Father and My Son,2005,1h 52m,
Pather Panchali,1955,2h 5m,Drama
Jai Bhim,2021,2h 44m,"Crime,Drama,Mystery"
The Battle of Algiers,1966,2h 1m,"Drama,War"
The Grapes of Wrath,1940,2h 9m,Drama
Hachi: A Dog's Tale,2009,1h 33m,"Biography,Drama,Family"
Pirates of the Caribbean: The Curse of the Black Pearl,2003,2h 23m,"Action,Adventure,Fantasy"
Rebecca,1940,2h 10m,"Drama,Film-Noir,Mystery"
To Be or Not to Be,1942,1h 39m,
La haine,1995,1h 38m,"Crime,Drama"
Groundhog Day,1993,1h 41m,"Comedy,Drama,Fantasy"
The Incredibles,2004,1h 55m,"Animation,Action,Adventure"
Into the Wild,2007,2h 28m,"Adventure,Biography,Drama"
The Exorcist,1973,2h 2m,Horror
The Best Years of Our Lives,1946,2h 50m,"Drama,Romance,War"
Before Sunset,2004,1h 20m,"Drama,Romance"
The Wizard of Oz,1939,1h 42m,"Adventure,Family,Fantasy"
Network,1976,2h 1m,Drama
Rush,2013,2h 3m,"Action,Biography,Drama"
Stand by Me,1986,1h 29m,"Adventure,Drama"
Spotlight,2015,2h 9m,"Biography,Crime,Drama"
Ratatouille,2007,1h 51m,"Animation,Adventure,Comedy"
Logan,2017,2h 17m,"Action,Drama,Sci-Fi"
Rocky,1976,2h,"Drama,Sport"
The Terminator,1984,1h 47m,"Action,Sci-Fi"
Platoon,1986,2h,"Drama,War"
The Passion of Joan of Arc,1928,1h 54m,"Biography,Drama,History"
